Date,underlying_price,maturity,call_price,strike,put_price,moneyness_level
2019-06-03,2743.8,2.0,17.31,2745.0,16.5,1.000437349661054
2019-06-03,2743.8,2.0,12.8,2750.0,19.1,1.0022596399154458
2019-06-03,2743.8,2.0,9.35,2755.0,26.8,1.0040819301698374
2019-06-03,2743.8,2.0,10.1,2760.0,29.9,1.005904220424229
2019-06-03,2743.8,2.0,8.24,2765.0,33.4,1.0077265106786208
2019-06-03,2743.8,2.0,6.45,2770.0,39.6,1.0095488009330125
2019-06-03,2743.8,2.0,5.2,2775.0,41.1,1.0113710911874043
2019-06-03,2743.8,2.0,3.9,2780.0,52.4,1.013193381441796
2019-06-03,2743.8,2.0,3.1,2785.0,52.8,1.0150156716961878
2019-06-03,2743.8,2.0,2.2,2790.0,57.55,1.0168379619505794
2019-06-03,2743.8,2.0,1.62,2795.0,62.13,1.0186602522049713
2019-06-03,2743.8,2.0,1.15,2800.0,66.77,1.0204825424593629
2019-06-03,2743.8,2.0,0.8,2805.0,59.65,1.0223048327137545
2019-06-03,2743.8,2.0,0.6,2810.0,76.55,1.0241271229681463
2019-06-03,2743.8,2.0,0.2,2815.0,78.5,1.025949413222538
2019-06-03,2743.8,2.0,0.25,2820.0,78.72,1.0277717034769298
2019-06-03,2743.8,2.0,0.1,2825.0,83.71,1.0295939937313214
2019-06-03,2743.8,2.0,0.1,2830.0,100.1,1.0314162839857133
2019-06-03,2743.8,2.0,0.05,2835.0,93.72,1.033238574240105
2019-06-03,2743.8,2.0,0.05,2840.0,0.0,1.0350608644944965
2019-06-03,2743.8,2.0,0.05,2845.0,113.55,1.0368831547488884
2019-06-03,2743.8,2.0,0.03,2850.0,0.0,1.03870544500328
2019-06-03,2743.8,2.0,0.04,2855.0,113.67,1.0405277352576718
2019-06-03,2743.8,2.0,0.03,2860.0,124.29,1.0423500255120635
2019-06-03,2743.8,2.0,0.03,2865.0,133.95,1.0441723157664553
2019-06-03,2743.8,2.0,0.05,2870.0,115.26,1.045994606020847
2019-06-03,2743.8,2.0,0.05,2875.0,118.9,1.0478168962752386
2019-06-03,2743.8,2.0,0.05,2880.0,145.28,1.0496391865296304
2019-06-03,2743.8,2.0,0.05,2885.0,150.32,1.051461476784022
2019-06-03,2743.8,2.0,0.03,2890.0,133.79,1.0532837670384139
2019-06-03,2743.8,2.0,0.05,2895.0,161.56,1.0551060572928055
2019-06-03,2743.8,2.0,0.05,2900.0,166.53,1.0569283475471973
2019-06-03,2743.8,2.0,0.02,2905.0,148.95,1.058750637801589
2019-06-03,2743.8,2.0,0.05,2910.0,173.29,1.0605729280559806
2019-06-03,2743.8,2.0,0.05,2915.0,159.97,1.0623952183103724
2019-06-03,2743.8,2.0,0.05,2920.0,154.9,1.064217508564764
2019-06-03,2743.8,2.0,0.01,2925.0,0.0,1.066039798819156
2019-06-03,2743.8,2.0,0.05,2930.0,0.0,1.0678620890735475
2019-06-03,2743.8,2.0,0.05,2935.0,0.0,1.0696843793279394
2019-06-03,2743.8,2.0,0.05,2940.0,0.0,1.071506669582331
2019-06-03,2743.8,2.0,0.05,2945.0,0.0,1.0733289598367228
2019-06-03,2743.8,2.0,0.04,2950.0,0.0,1.0751512500911145
2019-06-03,2743.8,2.0,0.05,2955.0,0.0,1.076973540345506
2019-06-03,2743.8,2.0,0.05,2960.0,0.0,1.078795830599898
2019-06-03,2743.8,2.0,0.05,2965.0,0.0,1.0806181208542895
2019-06-03,2743.8,2.0,0.03,2970.0,0.0,1.0824404111086814
2019-06-03,2743.8,2.0,0.02,2975.0,0.0,1.084262701363073
2019-06-03,2743.8,2.0,0.05,3000.0,0.0,1.0933741526350316
2019-06-03,2743.8,4.0,0.0,1700.0,0.05,0.6195786864931846
2019-06-03,2743.8,4.0,851.18,1900.0,0.0,0.6924702966688534
2019-06-03,2743.8,4.0,0.0,2000.0,0.05,0.7289161017566878
2019-06-03,2743.8,4.0,0.0,2050.0,0.05,0.747139004300605
2019-06-03,2743.8,4.0,0.0,2100.0,0.05,0.7653619068445221
2019-06-03,2743.8,4.0,0.0,2125.0,0.05,0.7744733581164808
2019-06-03,2743.8,4.0,580.89,2150.0,0.05,0.7835848093884393
2019-06-03,2743.8,4.0,556.01,2175.0,0.05,0.7926962606603979
2019-06-03,2743.8,4.0,0.0,2200.0,0.15,0.8018077119323566
2019-06-03,2743.8,4.0,0.0,2225.0,0.15,0.8109191632043151
2019-06-03,2743.8,4.0,0.0,2240.0,0.1,0.8163860339674903
2019-06-03,2743.8,4.0,0.0,2250.0,0.05,0.8200306144762737
2019-06-03,2743.8,4.0,0.0,2260.0,0.05,0.8236751949850571
2019-06-03,2743.8,4.0,0.0,2275.0,0.05,0.8291420657482323
2019-06-03,2743.8,4.0,0.0,2280.0,0.05,0.8309643560026241
2019-06-03,2743.8,4.0,0.0,2290.0,0.12,0.8346089365114074
2019-06-03,2743.8,4.0,0.0,2300.0,0.05,0.8382535170201909
2019-06-03,2743.8,4.0,0.0,2310.0,0.1,0.8418980975289744
2019-06-03,2743.8,4.0,0.0,2325.0,0.1,0.8473649682921495
2019-06-03,2743.8,4.0,0.0,2330.0,0.2,0.8491872585465412
2019-06-03,2743.8,4.0,0.0,2340.0,0.1,0.8528318390553247
2019-06-03,2743.8,4.0,0.0,2345.0,0.08,0.8546541293097164
2019-06-03,2743.8,4.0,0.0,2350.0,0.1,0.8564764195641081
2019-06-03,2743.8,4.0,0.0,2360.0,0.11,0.8601210000728916
2019-06-03,2743.8,4.0,0.0,2365.0,0.1,0.8619432903272832
2019-06-03,2743.8,4.0,0.0,2370.0,0.1,0.863765580581675
2019-06-03,2743.8,4.0,0.0,2375.0,0.1,0.8655878708360667
2019-06-03,2743.8,4.0,0.0,2380.0,0.15,0.8674101610904584
2019-06-03,2743.8,4.0,0.0,2385.0,0.3,0.8692324513448502
2019-06-03,2743.8,4.0,0.0,2395.0,0.1,0.8728770318536336
2019-06-03,2743.8,4.0,0.0,2400.0,0.1,0.8746993221080253
2019-06-03,2743.8,4.0,0.0,2405.0,0.1,0.876521612362417
2019-06-03,2743.8,4.0,0.0,2410.0,0.1,0.8783439026168087
2019-06-03,2743.8,4.0,0.0,2415.0,0.1,0.8801661928712005
2019-06-03,2743.8,4.0,0.0,2420.0,0.25,0.8819884831255922
2019-06-03,2743.8,4.0,0.0,2425.0,0.2,0.8838107733799839
2019-06-03,2743.8,4.0,0.0,2430.0,0.25,0.8856330636343757
2019-06-03,2743.8,4.0,0.0,2435.0,0.25,0.8874553538887674
2019-06-03,2743.8,4.0,0.0,2440.0,0.2,0.889277644143159
2019-06-03,2743.8,4.0,0.0,2445.0,0.2,0.8910999343975508
2019-06-03,2743.8,4.0,0.0,2450.0,0.2,0.8929222246519425
2019-06-03,2743.8,4.0,0.0,2455.0,0.4,0.8947445149063342
2019-06-03,2743.8,4.0,0.0,2460.0,0.25,0.896566805160726
2019-06-03,2743.8,4.0,0.0,2465.0,0.25,0.8983890954151177
2019-06-03,2743.8,4.0,0.0,2470.0,0.25,0.9002113856695094
2019-06-03,2743.8,4.0,0.0,2475.0,0.2,0.902033675923901
2019-06-03,2743.8,4.0,0.0,2480.0,0.43,0.9038559661782928
2019-06-03,2743.8,4.0,0.0,2485.0,0.25,0.9056782564326845
2019-06-03,2743.8,4.0,0.0,2490.0,0.2,0.9075005466870762
2019-06-03,2743.8,4.0,0.0,2495.0,0.25,0.909322836941468
2019-06-03,2743.8,4.0,0.0,2500.0,0.2,0.9111451271958597
2019-06-03,2743.8,4.0,0.0,2505.0,0.3,0.9129674174502515
2019-06-03,2743.8,4.0,0.0,2510.0,0.35,0.9147897077046432
2019-06-03,2743.8,4.0,0.0,2515.0,0.35,0.9166119979590348
2019-06-03,2743.8,4.0,0.0,2520.0,0.4,0.9184342882134265
2019-06-03,2743.8,4.0,0.0,2525.0,0.45,0.9202565784678183
2019-06-03,2743.8,4.0,0.0,2530.0,0.3,0.92207886872221
2019-06-03,2743.8,4.0,0.0,2535.0,0.4,0.9239011589766017
2019-06-03,2743.8,4.0,0.0,2540.0,0.43,0.9257234492309935
2019-06-03,2743.8,4.0,0.0,2545.0,0.4,0.9275457394853852
2019-06-03,2743.8,4.0,0.0,2550.0,0.45,0.9293680297397768
2019-06-03,2743.8,4.0,0.0,2555.0,0.45,0.9311903199941686
2019-06-03,2743.8,4.0,0.0,2560.0,0.6,0.9330126102485603
2019-06-03,2743.8,4.0,0.0,2565.0,0.4,0.934834900502952
2019-06-03,2743.8,4.0,0.0,2570.0,0.66,0.9366571907573438
2019-06-03,2743.8,4.0,0.0,2575.0,0.7,0.9384794810117355
2019-06-03,2743.8,4.0,0.0,2580.0,0.6,0.9403017712661272
2019-06-03,2743.8,4.0,0.0,2585.0,0.7,0.942124061520519
2019-06-03,2743.8,4.0,0.0,2590.0,0.78,0.9439463517749106
2019-06-03,2743.8,4.0,0.0,2595.0,0.94,0.9457686420293023
2019-06-03,2743.8,4.0,146.64,2600.0,0.95,0.9475909322836941
2019-06-03,2743.8,4.0,0.0,2605.0,0.9,0.9494132225380858
2019-06-03,2743.8,4.0,0.0,2610.0,1.0,0.9512355127924775
2019-06-03,2743.8,4.0,0.0,2615.0,1.3,0.9530578030468693
2019-06-03,2743.8,4.0,124.0,2620.0,1.35,0.954880093301261
2019-06-03,2743.8,4.0,0.0,2625.0,1.84,0.9567023835556527
2019-06-03,2743.8,4.0,103.5,2630.0,1.54,0.9585246738100444
