Date,maturity,moneyness_level,underlying_price,strike,call_price,put_price
2021-06-30,53.48904195366312,0.8697780162103741,4297.32,3737.7144646211646,223.30371947401377,58.76460864120226
2021-07-01,58.014042867701406,0.8658067313888352,4320.2,3740.458240946046,216.7561271249076,58.895920177383594
2021-07-02,62.30879911455451,0.8635301046034813,4352.48,3758.49750968456,230.8498063087991,58.7383397897067
2021-07-06,59.291500285225325,0.862011639555332,4343.44,3744.095835710211,237.04209355390756,61.171152310325155
2021-07-07,58.00558971492454,0.8606005322777153,4358.9,3751.2716601453326,239.24005030743433,59.73402459474567
2021-07-08,60.73854612095296,0.8634473538471988,4322.04,3731.8540012217472,252.81994502138056,67.6500733048259
2021-07-09,58.3656462585034,0.8580827206292387,4369.26,3749.186507936508,249.89352040816325,60.78090136054421
2021-07-12,55.6243093922652,0.8624001316619878,4384.91,3781.546961325967,248.42822651933704,57.604066298342545
2021-07-13,55.41227562246671,0.8577653420160455,4369.81,3748.271569195136,266.8550260567458,58.78588882455124
2021-07-14,53.165337586390216,0.8662284741936794,4375.24,3789.9574694311536,251.21332270069112,55.67156831472621
2021-07-15,54.5187969924812,0.8646946404559835,4359.73,3769.835164835165,268.37094852515906,59.45395604395604
2021-07-16,52.673289183222956,0.8756465256843975,4326.97,3788.8962472406183,262.2205794701987,59.91376931567329
2021-07-19,55.151984511132625,0.8857817278943249,4259.51,3772.9961277831558,248.26506776379478,76.97875605033883
2021-07-20,54.03929084810733,0.8735201409530929,4323.35,3776.5333013895543,249.02035936751318,69.56464781983709
2021-07-21,53.11616880037933,0.8680716151546587,4358.77,3783.724513987672,249.78864390706497,65.19118065433855
2021-07-22,56.888333333333335,0.87217835089077,4367.57,3809.3,234.62462222222223,61.50440555555555
2021-07-23,53.96051974012993,0.8717486329652083,4411.75,3845.9370314842577,219.11851074462768,52.951064467766116
2021-07-26,52.350515463917525,0.8681768702992043,4422.48,3839.494845360825,229.69227835051547,52.004180412371134
2021-07-27,51.35526992287918,0.8713847577883982,4402.28,3836.0796915167093,230.1584884318766,54.04277634961439
2021-07-28,50.29204892966361,0.8725637775134929,4400.62,3839.821610601427,230.43750254841999,52.046574923547404
2021-07-29,52.04117315284828,0.8654568627155541,4418.95,3824.4106034968977,252.96292724196277,52.285899605188945
2021-07-30,50.369978858350954,0.8745382185088338,4395.08,3843.6654334038053,246.4446194503171,52.866960887949254
2021-08-02,57.6248574686431,0.8717157101711192,4387.3,3824.4783352337513,237.71999429874572,60.357582668187
2021-08-03,56.73463687150838,0.8660836339043869,4423.47,3831.094972067039,237.26502793296092,58.2002122905028
2021-08-04,55.72582417582417,0.8713512495609208,4402.32,3835.967032967033,234.78987912087914,57.34412087912088
2021-08-05,58.0988336402701,0.8618665559046819,4429.21,3817.387968078576,253.70814610190303,59.140178023327195
